#{"t_start": 1690330778.5383134, "env_id": null}
r,l,t
172.313297,42,1574.446317
127.69578,19,1574.800558
206.328227,71,1576.004341
43.203677,201,1579.442285
5.246787,201,1582.828938
32.325018,151,1585.369752
57.096492,167,1588.225163
228.461506,80,1589.585164
88.599086,201,1593.00528
213.335228,82,1594.404893
87.150437,201,1597.810907
177.727771,43,1598.55416
228.643469,80,1599.915459
168.862311,44,1600.679653
275.259506,158,1603.339137
60.057144,201,1606.705783
108.01493,34,1607.302508
176.409846,56,1608.265195
168.777917,45,1609.06488
177.345906,50,1609.941155
188.478848,59,1610.962366
204.627007,58,1611.955875
263.046842,179,1614.956169
121.962884,12,1615.191473
205.164748,70,1616.37668
134.401749,25,1616.828416
212.850778,65,1617.975129
161.575121,44,1618.740762
223.612923,108,1620.614898
284.468939,124,1622.744398
159.865158,39,1623.438728
218.693027,75,1624.720225
262.33288,96,1626.393494
352.412188,192,1629.611495
167.019317,201,1632.968327
120.039721,38,1633.643272
102.671818,2,1633.711988
111.666609,7,1633.860094
177.039895,42,1634.607195
294.239021,162,1637.345528
292.068936,139,1639.726185
217.882055,70,1640.9437
139.892936,27,1641.425174
230.751884,83,1642.897958
134.400672,22,1643.296519
164.23844,36,1643.926545
166.951645,47,1644.75923
158.875713,37,1645.405336
208.031221,68,1646.570161
200.762869,89,1648.099568
253.17364,97,1649.740864
123.36149,37,1650.389732
197.603305,60,1651.46255
235.771659,132,1653.748826
105.965939,201,1657.126271
173.046123,48,1657.986632
181.003563,201,1661.424021
-9.828879,201,1664.844419
156.249932,89,1666.375713
188.187521,52,1667.271018
106.340828,16,1667.572672
208.887402,120,1669.608583
195.739737,61,1670.723965
166.540606,51,1671.595133
230.32924,83,1673.027666
155.440595,36,1673.660119
164.520283,43,1674.410556
136.793552,22,1674.806097
240.135182,179,1677.861409
222.069025,76,1679.151712
157.637415,36,1679.779341
123.282652,36,1680.428227
161.647137,38,1681.088794
265.546551,100,1682.80551
250.546725,112,1684.702845
-930.32752,201,1688.071466
208.974432,108,1689.901788
273.682609,108,1691.758582
269.796586,136,1694.089012
196.034562,82,1695.491779
126.257644,201,1698.895807
-11.842293,201,1702.307381
212.08351,74,1703.616527
235.479993,84,1705.039863
55.318309,152,1707.603774
256.699917,88,1709.256662
55.225029,201,1712.574397
80.107064,201,1715.9392
206.818826,78,1717.292777
213.175674,78,1718.641218
270.680385,108,1720.49873
247.038058,176,1723.488995
180.78347,54,1724.431705
212.851913,70,1725.638335
250.009255,108,1727.497743
158.45143,38,1728.160212
196.975774,60,1729.224952
177.857502,57,1730.196063
47.803635,201,1733.560438
146.202843,30,1734.085134
130.288723,160,1736.844089
-17.536905,201,1740.21428
217.499967,96,1741.898436
131.59389,201,1745.270468
97.237885,201,1748.644778
194.008805,63,1749.727922
194.91863,63,1750.805542
259.45957,131,1753.050358
135.407409,27,1753.530496
185.529966,198,1756.879303
39.04573,201,1760.247327
209.591253,83,1761.689953
179.019673,57,1762.71358
161.626191,185,1765.843647
261.046131,122,1767.951738
221.888932,99,1769.641968
213.050804,66,1770.839453
118.097342,11,1771.0519
193.927646,52,1771.989292
156.033584,36,1772.622322
185.540033,117,1774.647713
195.654265,58,1775.647426
254.803562,131,1777.875872
200.726376,58,1778.884353
212.750957,67,1780.060638
228.58036,78,1781.428243
233.502293,93,1782.994476
258.458694,171,1785.887364
145.146836,30,1786.419879
98.072411,201,1789.874447
170.869559,40,1790.568648
106.304821,201,1793.965092
209.412524,179,1796.991199
-10.78765,201,1800.398656
167.452378,38,1801.070278
125.707808,20,1801.463033
150.06338,49,1802.335672
173.232782,44,1803.093316
306.839969,164,1805.863524
168.790474,53,1806.77676
251.960834,96,1808.422645
129.06742,201,1811.811556
194.346652,58,1812.814136
161.731874,44,1813.57472
173.960086,60,1814.633372
218.131918,75,1815.908322
127.192227,15,1816.188904
206.10907,75,1817.506777
268.207536,106,1819.374489
188.058718,57,1820.349175
222.302859,77,1821.678633
