#{"t_start": 1689531136.1129184, "env_id": null}
r,l,t
101.799998,24,1027.129265
-18.1,28,1027.634367
-17.9,33,1028.212058
-19.0,16,1028.515478
-15.3,83,1029.962499
102.699999,57,1030.944021
-16.9,31,1031.525357
104.699999,95,1033.135803
105.199999,157,1035.867862
101.000003,52,1036.760727
102.999999,90,1038.323219
100.499998,20,1038.690484
105.799999,103,1040.462862
-18.5,45,1041.2453
101.899999,91,1042.832895
-20.700001,23,1043.255919
103.499999,95,1044.89117
-18.1,34,1045.489281
-20.4,26,1045.955772
99.099998,135,1048.254544
-18.5,21,1048.639833
99.699998,105,1050.449261
101.499998,33,1051.025741
-20.2,43,1051.808705
104.299999,64,1052.903915
-16.9,139,1055.28484
103.099999,67,1056.464654
99.799998,19,1056.818221
102.699999,84,1058.278492
103.999999,79,1059.625064
100.399998,91,1061.203686
106.199999,104,1063.00154
104.599999,109,1064.879997
-17.9,36,1065.513576
-18.9,56,1066.477111
102.399999,30,1067.037751
-17.2,58,1068.03732
102.699999,42,1068.76975
102.399999,42,1069.537009
105.199999,61,1070.577715
-18.7,40,1071.272177
102.099999,81,1072.673319
103.499999,161,1075.413329
101.399998,20,1075.774633
101.999999,80,1077.161729
102.299999,152,1079.749218
-19.2,65,1080.892469
-20.9,72,1082.122978
100.599998,135,1084.427066
-18.5,63,1085.557772
101.199998,126,1087.720823
105.299999,71,1088.932695
105.499999,85,1090.411847
103.699999,103,1092.195914
104.099999,86,1093.691527
101.299998,34,1094.290076
102.099999,27,1094.774869
101.999999,50,1095.632374
-19.8,86,1097.142199
100.199998,137,1099.486221
-16.7,42,1100.2354
101.500003,99,1101.912874
-16.5,53,1102.884882
-22.1,87,1104.353174
-18.8,42,1105.112053
98.899998,133,1107.383015
99.499998,130,1109.607735
-19.4,9,1109.792015
101.999999,86,1111.301195
102.599999,35,1111.917064
-18.7,13,1112.166187
-19.600001,22,1112.565437
101.699998,80,1113.960858
-17.0,45,1114.747619
102.999999,81,1116.15358
104.799999,75,1117.437169
-20.4,65,1118.585292
99.199998,124,1120.7131
105.099999,93,1122.294534
99.299998,155,1124.971287
106.499999,131,1127.207806
103.599999,75,1128.482612
98.499998,63,1129.591503
103.299999,81,1130.970864
100.599998,63,1132.081727
-19.0,10,1132.279009
102.999999,60,1133.304307
-16.5,71,1134.558854
100.199998,26,1135.029821
100.999998,37,1135.708947
102.599999,71,1136.923311
105.899999,86,1138.435028
101.899999,79,1139.781131
104.799999,99,1141.489754
102.599999,50,1142.387031
103.299999,75,1143.665952
100.400003,10,1143.871337
100.599998,171,1146.815094
102.499999,88,1148.317554
-14.9,87,1149.830385
100.799998,62,1150.89134
103.699999,124,1153.023379
101.599998,25,1153.506395
-20.4,41,1154.219506
102.099999,75,1155.496954
100.399998,88,1157.0281
106.099999,121,1159.110238
-16.5,50,1159.972117
101.699998,62,1161.068725
-13.6,115,1163.070363
102.099999,72,1164.302586
100.299998,87,1165.815513
103.299999,90,1167.376616
101.899999,22,1167.776932
-16.7,42,1168.510848
101.599998,49,1169.372744
100.699998,82,1170.771998
103.699999,97,1172.44387
-2.7,201,1175.890235
100.099998,70,1177.087391
102.399999,57,1178.100656
101.299998,88,1179.602442
105.499999,85,1181.06671
-16.8,38,1181.730655
100.299998,39,1182.444976
101.799998,21,1182.831089
100.499998,26,1183.298678
100.799998,47,1184.109105
102.699999,39,1184.823409
102.199999,55,1185.771098
-19.7,60,1186.830531
102.099999,36,1187.461375
103.199999,71,1188.676566
-19.9,1,1188.729421
-19.4,6,1188.863322
102.999999,60,1189.920284
106.299999,102,1191.686984
-13.3,127,1193.874735
102.299999,62,1194.93668
-19.1,36,1195.567575
-19.1,54,1196.532179
-17.2,61,1197.579611
102.599999,53,1198.531139
104.199999,63,1199.615124
100.699998,10,1199.815588
103.899999,57,1200.82908
104.099999,77,1202.146931
101.699998,32,1202.743185
102.499999,64,1203.845303
102.699999,69,1205.059438
-14.6,111,1206.972366
-18.8,54,1207.907813
101.699998,86,1209.401807
103.399999,37,1210.048413
103.599999,72,1211.271942
102.500003,67,1212.450136
104.499999,90,1214.009803
-18.2,39,1214.694327
101.199998,57,1215.667427
101.799998,42,1216.451015
103.399999,70,1217.647173
101.599998,46,1218.478909
-16.0,73,1219.718755
